name,state,location,control,for_profit,religious_controlled,religious_orentation,degree_type,focus,founded_in,closed_merged_in,done,closed_reason,enrollment,historically_black,accreditation
University of Notre Dame,Indiana,Notre Dame,Private,0,0,Catholic,Doctoral University,,1842,,Jenalyn,,"12,126",,"HLC, ABA, APA, ATS"
Lambuth University,Tennessee,Jackson,Private,0,1,United Methodist,Doctoral University,,1842,2011,x,,,,
College of St. James,Maryland,Hagerstown vicinity,Private,0,1,Catholic,Baccalaureate College,,1843,1863,Jenalyn,,,,
Clarke University,Iowa,Dubuque,Private,0,1,Catholic,Baccalaureate College,,1843,,Jenalyn,,"1,232",,"HLC, APTA, CCNE, NASM"
New Windsor College,Maryland,New Windsor,Private,0,1,Presbyterian,Baccalaureate College,,1843,1850,Jenalyn,,,,
Olivet College,Michigan,Olivet,Private,0,0,Christian,Baccalaureate College,,1844,,x,,"1,078",,HLC
Hillsdale College,Michigan,Hillsdale,Private,0,1,Christian,Baccalaureate College,,1844,,x,,"1,526",,
Newton University,Maryland,Baltimore,Private,1,1,Christian,Masters University,,1844,1859,Jenalyn,,,,
Saint Joseph College,Oregon,,Private,0,1,Catholic,Baccalaureate College,,1844,1849,Jenalyn,,,,
University at Albany,New York,Albany,Public,0,0,none,Doctoral University,,1844,,,,"17,544",,
SUNY at Albany,New York,Albany,Public,0,0,none,Doctoral University,,1844,,,,"19,736",,
Milton College,Wisconsin,Milton,Private,1,1,Catholic,Baccalaureate College,,1844,1982,Jenalyn,,,,
Saint Mary's College,Indiana,Notre Dame,Private,0,1,Catholic,Baccalaureate College,,1844,,Jenalyn,,"1,469",,"HLC, CCNE, NASAD, NASM, TCATE"
Wittenberg University,Ohio,Springfield,Private,0,1,Evangelical Lutheran,Baccalaureate College,,1845,,Jenalyn,,,,
Baldwin Wallace University,Ohio,Berea,Private,0,0,none,Masters University,,1845,,Jenalyn,,,,
University of Mary Hardin-Baylor,Texas,,Private,0,1,Christian,Baccalaureate College,,1845,,Jenalyn,,,,
Baylor University,Texas,,Private,0,1,Baptist General Convention of Texas,Doctoral University,,1845,,Jenalyn,,"16,787",,
Limestone University,South Carolina,Gaffney,Private,0,1,Interdenominational,Baccalaureate College,,1845,,Jenalyn,,2442,,SACS
United States Naval Academy,Maryland,Annapolis,Public,0,0,none,Baccalaureate College,,1845,,,,"4,400",,Federal service academy
University of Mount Union,Ohio,Alliance,Private,0,1,Methodist,Baccalaureate College,,1846,,Jenalyn,,,,
Beloit College,Wisconsin,Beloit,Private,0,0,none,Baccalaureate College,,1846,,Jenalyn,,"1,397",,HLC
Carroll University,Wisconsin,Waukesha,Private,0,1,Presbyterian,Masters University,,1846,,Jenalyn,,"3,396",,"HLC, ADA, APTA, CCNE"
University at Buffalo,New York,Buffalo,Public,0,0,none,Doctoral University,,1846,,,,"31,927",,
SUNY Buffalo State,New York,Buffalo,Public,0,0,none,Doctoral University,,1846,,,,"13,965",,
University at Buffalo,New York,Buffalo,Public,0,0,none,Doctoral University,,1846,,,,"31,788",,
Bucknell University,Pennsylvania,Lewisburg (Union County),Private,0,1,none,Baccalaureate College,,1846,,Jenalyn,,"3,624",,
Northeastern State University,Oklahoma,Tahlequah,Public,0,0,,Masters University,,1846,,,,"7,899",,
Saint Vincent College,Pennsylvania,Unity Township(Westmoreland County),Private,0,1,Roman Catholic Church,Baccalaureate College,,1846,,Jenalyn,,"1,937",,
Saint Xavier University,Illinois,Chicago,Private,0,1,Catholic,Baccalaureate College,,1846,,Jenalyn,,,,
Taylor University,Indiana,Upland,Private,0,1,Evangelical Christian,Baccalaureate College,,1846,,Jenalyn,,"2,360",,"HLC, CELPA, NASM, TCATE, ABET"
Grinnell College,Iowa,Grinnell,Private,0,0,none,Baccalaureate College,,1846,,Jenalyn,,"1,693",,HLC
Concordia Theological Seminary,Indiana,Fort Wayne,Private,0,1,,Seminary,,1846,,AJB,,294,,"ATSCA, HLC"
Otterbein University,Ohio,Westerville,Private,0,1,Methodist,Masters University,,1847,,Jenalyn,,,,
Carthage College,Wisconsin,Kenosha,Private,0,1,Evangelical Lutheran Church in America,Baccalaureate College,,1847,,Jenalyn,,"3,144",,"HLC, NASM"
Lawrence University,Wisconsin,Appleton,Private,0,0,none,Baccalaureate College,,1847,,Jenalyn,,"1,557",,"HLC, NASM"
Midway University,Kentucky,,Private,0,1,Christian,Baccalaureate College,,1847,,Jenalyn,,,,
College of Mount Saint Vincent,New York,Bronx,Private,0,1,Catholic,Baccalaureate College,,1847,,Jenalyn,,"2,269",,
Saint Francis University,Pennsylvania,Loretto(Cambria County),Private,0,1,Roman Catholic Church,Baccalaureate College,,1847,,Jenalyn,,"2,449",,
Rockford University,Illinois,Rockford,Private,0,0,none,Baccalaureate College,,1847,,Jenalyn,,,,
CUNY City College,New York,New York,Public,0,0,Christian,Associates College,,1847,,,,"18,723",,
The City College,New York,Manhattan,Public,0,0,none,Baccalaureate College,,1847,,,,"14,392",,
Earlham College,Indiana,Richmond,Private,0,0,none,Baccalaureate College,,1847,,Jenalyn,,"1,196",,"HLC, ATSCA"
University of Iowa,Iowa,Iowa City,Public,0,0,none,Doctoral University,,1847,,,,"31,498[8]",,"HLC, ACPE, ABA, ADA, APTA, APA, ASHA, CPE, CAHME, CCNE, CELPA, AANA, CEPH, JRCERT, LCME, NASD, NASM, NAST"
Saint Mary's Academy and College,Kansas,St. Mary,Private,0,1,Catholic,Baccalaureate College,,1848,,AJB,,,,
Moore College of Art and Design,Pennsylvania,Philadelphia,Private,0,0,none,Specialized Focus,Art,1848,,Jenalyn,,556,,
Chowan University,North Carolina,Murfreesboro,Private,0,0,Baptist ,Baccalaureate College,,1848,,Jenalyn,,"1,399",,
Chancellor University,Ohio,Cleveland,Private,0,1,Catholic,Baccalaureate College,,1848,2013,Jenalyn,,,,
University of Mississippi - Oxford and University,Mississippi,,Public,0,0,none,Doctoral University,,1848,,,,,,
